[[28792, 50000], [13378, 50000]]	,
[[28644, 50000], [13497, 50000]]	,
[[28889, 50000], [13356, 50000]]	,
[[28787, 50000], [13489, 50000]]	,
[[28835, 50000], [13623, 50000]]	,
[[28782, 50000], [13453, 50000]]	,
[[28720, 50000], [13411, 50000]]	,
[[28734, 50000], [13405, 50000]]	,
[[28857, 50000], [13439, 50000]]	,
[[28778, 50000], [13507, 50000]]	,
[[28787, 50000], [13415, 50000]]	,
[[28775, 50000], [13395, 50000]]	,
[[28642, 50000], [13286, 50000]]	,
[[28840, 50000], [13319, 50000]]	,
[[28856, 50000], [13504, 50000]]	,
[[28812, 50000], [13585, 50000]]	,
[[28803, 50000], [13496, 50000]]	,
[[28851, 50000], [13442, 50000]]	,
[[28700, 50000], [13379, 50000]]	,
[[28755, 50000], [13515, 50000]]	,
[[28873, 50000], [13568, 50000]]	,
[[28913, 50000], [13224, 50000]]	,
[[28866, 50000], [13586, 50000]]	,
[[28886, 50000], [13492, 50000]]	,
[[28701, 50000], [13356, 50000]]	,
[[28928, 50000], [13455, 50000]]	,
[[28832, 50000], [13427, 50000]]	,
[[29012, 50000], [13283, 50000]]	,
[[28756, 50000], [13477, 50000]]	,
[[28686, 50000], [13290, 50000]]	,
[[28782, 50000], [13386, 50000]]	,
[[28788, 50000], [13491, 50000]]	,
[[28852, 50000], [13393, 50000]]	,
[[28916, 50000], [13482, 50000]]	,
[[28841, 50000], [13561, 50000]]	,
[[28610, 50000], [13470, 50000]]	,
[[28691, 50000], [13475, 50000]]	,
[[28897, 50000], [13431, 50000]]	,
[[28684, 50000], [13382, 50000]]	,
[[28638, 50000], [13392, 50000]]	,
[[28764, 50000], [13602, 50000]]	,
[[28816, 50000], [13386, 50000]]	,
[[28846, 50000], [13448, 50000]]	,
[[28816, 50000], [13460, 50000]]	,
[[28764, 50000], [13435, 50000]]	,
[[28791, 50000], [13514, 50000]]	,
[[28713, 50000], [13517, 50000]]	,
[[28865, 50000], [13343, 50000]]	,
[[28791, 50000], [13357, 50000]]	,
[[28776, 50000], [13304, 50000]]	,
[[28902, 50000], [13432, 50000]]	,
[[28997, 50000], [13488, 50000]]	,
[[28862, 50000], [13403, 50000]]	,
[[28756, 50000], [13415, 50000]]	,
[[28907, 50000], [13474, 50000]]	,
[[28717, 50000], [13358, 50000]]	,
[[28998, 50000], [13525, 50000]]	,
[[28791, 50000], [13264, 50000]]	,
[[28777, 50000], [13516, 50000]]	,
[[28726, 50000], [13548, 50000]]	,
[[28825, 50000], [13317, 50000]]	,
[[28892, 50000], [13421, 50000]]	,
[[28539, 50000], [13396, 50000]]	,
[[28854, 50000], [13392, 50000]]	,
[[28737, 50000], [13447, 50000]]	,
[[28793, 50000], [13451, 50000]]	,
[[28593, 50000], [13484, 50000]]	,
[[28767, 50000], [13497, 50000]]	,
[[28875, 50000], [13452, 50000]]	,
[[28993, 50000], [13559, 50000]]	,
[[28750, 50000], [13413, 50000]]	,
[[28618, 50000], [13501, 50000]]	,
[[28633, 50000], [13231, 50000]]	,
[[28764, 50000], [13368, 50000]]	,
[[28959, 50000], [13429, 50000]]	,
